Date,Ticker,Price,Score,Position,Ret,StratRet,Equity,Action
1999-01-04,AAPL,0.30958282947540283,0.5,,0.0,,,HOLD
1999-01-05,AAPL,0.3250616490840912,0.5,,0.04999896032644213,,,HOLD
1999-01-06,AAPL,0.3133350610733032,0.5,,-0.03607496622203621,,,HOLD
1999-01-07,AAPL,0.3377264738082886,0.5,,0.07784450502102946,,,HOLD
1999-01-08,AAPL,0.3377264738082886,0.5,0.0,0.0,0.0,1.0,HOLD
1999-01-11,AAPL,0.3442929983139038,0.5,0.0,0.019443321785139966,0.0,1.0,HOLD
1999-01-12,AAPL,0.3461690843105316,0.5,0.0,0.005449097152179894,0.0,1.0,HOLD
1999-01-13,AAPL,0.3489842712879181,0.5,0.0,0.0081324043797657,0.0,1.0,HOLD
1999-01-14,AAPL,0.31052082777023315,0.5,0.0,-0.11021540706042865,-0.0,1.0,HOLD
1999-01-15,AAPL,0.310051828622818,0.5,0.0,-0.0015103629305091015,-0.0,1.0,HOLD
1999-01-19,AAPL,0.3067677617073059,0.5,0.0,-0.010591993377685238,-0.0,1.0,HOLD
1999-01-20,AAPL,0.3044225573539734,0.5,0.0,-0.0076448853043760145,-0.0,1.0,HOLD
1999-01-21,AAPL,0.291288822889328,0.5,0.0,-0.04314310535593413,-0.0,1.0,HOLD
1999-01-22,AAPL,0.2908197343349457,0.5,0.0,-0.0016103898176709208,-0.0,1.0,HOLD
1999-01-25,AAPL,0.295510858297348,0.5,0.0,0.016130693376534833,0.0,1.0,HOLD
1999-01-26,AAPL,0.30395352840423584,0.5,0.0,0.028569745814188252,0.0,1.0,HOLD
1999-01-27,AAPL,0.30113935470581055,0.5,0.0,-0.009258565653768813,-0.0,1.0,HOLD
1999-01-28,AAPL,0.3067677617073059,0.5,0.0,0.018690373455152898,0.0,1.0,HOLD
1999-01-29,AAPL,0.3091137409210205,0.5,0.0,0.007647411190335518,0.0,1.0,HOLD
1999-02-01,AAPL,0.30723682045936584,0.5354153607128849,0.0,-0.006071941208638187,-0.0,1.0,HOLD
1999-02-02,AAPL,0.2941030263900757,0.5889103876815444,0.0,-0.04274811218802854,-0.0,1.0,HOLD
1999-02-03,AAPL,0.30160847306251526,0.550555021200441,0.0,0.02551978728190618,0.0,1.0,HOLD
1999-02-04,AAPL,0.2842532694339752,0.6142013680073475,0.0,-0.05754216203648488,-0.0,1.0,HOLD
1999-02-05,AAPL,0.2725265622138977,0.6436365554303618,0.0,-0.041254432159843035,-0.0,1.0,HOLD
1999-02-08,AAPL,0.2833152115345001,0.5916516249809962,0.0,0.039587514820425884,0.0,1.0,HOLD
1999-02-09,AAPL,0.27909302711486816,0.6023724612117184,0.0,-0.01490278053466898,-0.0,1.0,HOLD
1999-02-10,AAPL,0.28753653168678284,0.561449984797416,0.0,0.030253369850188117,0.0,1.0,HOLD
1999-02-11,AAPL,0.29738712310791016,0.49615387896915303,0.0,0.03425857355703821,0.0,1.0,HOLD
1999-02-12,AAPL,0.2828460931777954,0.5947290541778592,0.0,-0.04889596354458958,-0.0,1.0,HOLD
1999-02-16,AAPL,0.28753653168678284,0.5531527918884664,0.0,0.016583006172332215,0.0,1.0,HOLD
1999-02-17,AAPL,0.2776859700679779,0.6163764588003892,0.0,-0.034258469909956624,-0.0,1.0,HOLD
1999-02-18,AAPL,0.27018147706985474,0.6502057990947461,0.0,-0.027025106800628307,-0.0,1.0,BUY
1999-02-19,AAPL,0.27909302711486816,0.5800217317126027,0.0,0.032983571418959245,0.0,1.0,HOLD
1999-02-22,AAPL,0.2884746789932251,0.513870104850946,0.0,0.033614784200594494,0.0,1.0,HOLD
1999-02-23,AAPL,0.2884746789932251,0.5114727811884492,0.0,0.0,0.0,1.0,HOLD
1999-02-24,AAPL,0.2809692323207855,0.5573356312467472,0.0,-0.02601769659172004,-0.0,1.0,HOLD
1999-02-25,AAPL,0.27721691131591797,0.5762375199089443,0.0,-0.013354917810301292,-0.0,1.0,HOLD
1999-02-26,AAPL,0.2612689435482025,0.6673088921885304,1.0,-0.05752884155592175,-0.0002,0.9998,BUY
1999-03-01,AAPL,0.2532944083213806,0.6921850282600728,1.0,-0.030522323543405228,-0.030522323543405228,0.9692837809213035,BUY
1999-03-02,AAPL,0.2598617374897003,0.6381577562075207,1.0,0.025927651588688372,0.025927651588688372,0.9944150330835976,HOLD
1999-03-03,AAPL,0.25657859444618225,0.6404560206786983,1.0,-0.012634191840759867,-0.012634191840759867,0.9818514027862838,HOLD
1999-03-04,AAPL,0.2509493827819824,0.658059811156454,1.0,-0.02193952179194969,-0.02193952179194969,0.9603100525383977,BUY
1999-03-05,AAPL,0.24907313287258148,0.6462484264873578,1.0,-0.007476606989828549,-0.007476606989828549,0.9531301916871865,BUY
1999-03-08,AAPL,0.2579856812953949,0.5873203668540278,1.0,0.035782857508653176,0.035782857508653176,0.9872359135235244,HOLD
1999-03-09,AAPL,0.25610947608947754,0.5884773599331113,1.0,-0.007272516817586894,-0.007272516817586894,0.9800562237394987,HOLD
1999-03-10,AAPL,0.2443828135728836,0.633944294876565,1.0,-0.04578769476103639,-0.04578769476103639,0.9351817085182605,HOLD
1999-03-11,AAPL,0.24156782031059265,0.6310810254911661,1.0,-0.0115187857162935,-0.0115187857162935,0.9244095508120415,HOLD
1999-03-12,AAPL,0.24907313287258148,0.5871166327667408,0.0,0.031069173668657468,0.03086917366865747,0.9529453097770241,HOLD
1999-03-15,AAPL,0.25563955307006836,0.5465668113276777,0.0,0.0263634223481104,0.0,0.9529453097770241,HOLD
1999-03-16,AAPL,0.2664283514022827,0.48148723765315976,0.0,0.04220316536563984,0.0,0.9529453097770241,HOLD
1999-03-17,AAPL,0.25563955307006836,0.3929525585789285,0.0,-0.04049418267774452,-0.0,0.9529453097770241,SELL
1999-03-18,AAPL,0.2664283514022827,0.32297929367899836,0.0,0.04220316536563984,0.0,0.9529453097770241,SELL
1999-03-19,AAPL,0.25141844153404236,0.3911222313145037,-1.0,-0.05633750983797048,-0.0002,0.9527547207150687,SELL
1999-03-22,AAPL,0.2631450891494751,0.28903151532679344,-1.0,0.04664195491739598,-0.04664195491739598,0.9083163779841403,SELL
1999-03-23,AAPL,0.24766619503498077,0.3570718291991173,-1.0,-0.05882266001818415,0.05882266001818415,0.96174596347525,SELL
1999-03-24,AAPL,0.25282537937164307,0.3084249120331162,-1.0,0.020831201189704496,-0.020831201189704496,0.9417116398167109,SELL
1999-03-25,AAPL,0.25376343727111816,0.28861300443003296,-1.0,0.0037102995822906326,-0.0037102995822906326,0.9382176075128608,SELL
1999-03-26,AAPL,0.249542236328125,0.31952253219168797,-1.0,-0.016634393781808976,0.016634393781808976,0.9538242886492564,SELL
1999-03-29,AAPL,0.26549017429351807,0.25207539027825765,-1.0,0.06390877231869885,-0.06390877231869885,0.8928665493539262,SELL
1999-03-30,AAPL,0.26924335956573486,0.2384016841425218,-1.0,0.014136814223743688,-0.014136814223743688,0.8802442608191147,SELL
1999-03-31,AAPL,0.26971232891082764,0.2611957514144102,-1.0,0.0017418046849853042,-0.0017418046849853042,0.8787110472416885,SELL
1999-04-01,AAPL,0.27065032720565796,0.27818899890461146,-1.0,0.003477773146738361,-0.003477773146738361,0.875655089557849,SELL
1999-04-05,AAPL,0.2781549394130707,0.2951488572002442,-1.0,0.0277280736546468,-0.0277280736546468,0.8513748607385226,SELL
1999-04-06,AAPL,0.28519126772880554,0.3001243487802817,-1.0,0.025296434895537345,-0.025296434895537345,0.8298381120021534,SELL
1999-04-07,AAPL,0.2786239981651306,0.3313176739383934,-1.0,-0.02302759693862677,0.02302759693862677,0.8489472895696502,SELL
1999-04-08,AAPL,0.27674782276153564,0.32690829933663096,-1.0,-0.006733717899213509,0.006733717899213509,0.8546638611289141,SELL
1999-04-09,AAPL,0.2758099138736725,0.34472501319430515,-1.0,-0.0033890380003868126,0.0033890380003868126,0.8575603494318372,SELL
1999-04-12,AAPL,0.27205759286880493,0.3541018176389704,-1.0,-0.013604735784030653,0.013604735784030653,0.8692272314047182,SELL
1999-04-13,AAPL,0.2598617374897003,0.40969477825635203,-1.0,-0.04482821174186402,0.04482821174186402,0.9081931337859231,HOLD
1999-04-14,AAPL,0.2666628658771515,0.3805431340542976,-1.0,0.026172103877819763,-0.026172103877819763,0.8844238087473553,SELL
1999-04-15,AAPL,0.26830437779426575,0.4094165345959483,-1.0,0.006155757426947073,-0.006155757426947073,0.87897951031809,HOLD
1999-04-16,AAPL,0.26595935225486755,0.40214446700652734,0.0,-0.008740168754146627,0.008540168754146626,0.8864861436676437,HOLD
1999-04-19,AAPL,0.25423258543014526,0.5069422593461733,0.0,-0.04409232736243318,-0.0,0.8864861436676437,HOLD
1999-04-20,AAPL,0.25563955307006836,0.5273033918783369,0.0,0.0055341750843724835,0.0,0.8864861436676437,HOLD
1999-04-21,AAPL,0.2579856812953949,0.49469054278700475,0.0,0.009177485241039784,0.0,0.8864861436676437,HOLD
1999-04-22,AAPL,0.27299556136131287,0.43271788184907434,0.0,0.058181058695004007,0.0,0.8864861436676437,HOLD
1999-04-23,AAPL,0.2941030263900757,0.32770739348188105,-1.0,0.07731797881075009,-0.0002,0.8863088464389102,SELL
1999-04-26,AAPL,0.30723682045936584,0.29870637489379087,-1.0,0.04465711975323394,-0.04465711975323394,0.8467288461451371,SELL
1999-04-27,AAPL,0.34335505962371826,0.42827412123115105,-1.0,0.1175583027787821,-0.1175583027787821,0.7471888400784783,HOLD
1999-04-28,AAPL,0.33069026470184326,0.4428521766850409,-1.0,-0.03688541807350765,0.03688541807350765,0.7747492128246323,HOLD
1999-04-29,AAPL,0.3227166533470154,0.50073652575347,-1.0,-0.024112023261456006,0.024112023261456006,0.7934299838660546,HOLD
1999-04-30,AAPL,0.34523117542266846,0.5591677119896938,0.0,0.06976560348574057,-0.06996560348574057,0.7379171762211847,HOLD
1999-05-03,AAPL,0.37196776270866394,0.5533830799482515,0.0,0.07744546028689836,0.0,0.7379171762211847,HOLD
1999-05-04,AAPL,0.3489842712879181,0.5497122364357347,0.0,-0.06178893367903815,-0.0,0.7379171762211847,HOLD
1999-05-05,AAPL,0.3527364730834961,0.5671378765387654,0.0,0.010751779103770565,0.0,0.7379171762211847,HOLD
1999-05-06,AAPL,0.3339734375476837,0.585764650425204,0.0,-0.05319278545763251,-0.0,0.7379171762211847,HOLD
1999-05-07,AAPL,0.3442929983139038,0.6172796782645302,0.0,0.030899345894077834,0.0,0.7379171762211847,HOLD
1999-05-10,AAPL,0.33960267901420593,0.6822588559467915,0.0,-0.01362304584370766,-0.0,0.7379171762211847,BUY
1999-05-11,AAPL,0.33585047721862793,0.6965389346143478,0.0,-0.011048799162803546,-0.0,0.7379171762211847,BUY
1999-05-12,AAPL,0.3489842712879181,0.6764173642532498,0.0,0.03910607535251609,0.0,0.7379171762211847,BUY
1999-05-13,AAPL,0.3466382324695587,0.688293750704972,0.0,-0.006722477232860347,-0.0,0.7379171762211847,BUY
1999-05-14,AAPL,0.3330353796482086,0.7243317091908485,1.0,-0.03924221723737498,-0.0002,0.7377695927859405,BUY
1999-05-17,AAPL,0.3330353796482086,0.7315995438362162,1.0,0.0,0.0,0.7377695927859405,BUY
1999-05-18,AAPL,0.33960267901420593,0.721427820852474,1.0,0.019719524613074135,0.019719524613074135,0.7523180584296605,BUY
